,Price
0,780.0
1,420.0
2,610.0
3,635.0
4,696.0
5,680.0
6,409.0
7,2000.0
8,380.0
9,360.0
10,446.0
11,835.0
12,490.0
13,500.0
14,450.0
15,419.0
16,1196.0
17,610.0
18,445.0
19,750.0
20,520.0
21,332.0
22,345.0
23,350.0
24,490.0
25,760.0
26,385.0
27,335.0
28,252.0
29,300.0
30,518.0
31,750.0
32,1500.0
33,220.0
34,235.0
35,445.0
36,1250.0
37,104.0
38,350.0
39,330.0
40,525.0
41,788.0
42,240.0
43,354.0
44,300.0
45,110.0
46,140.0
47,658.0
48,695.0
49,108.0
50,252.0
51,255.0
52,255.0
53,135.0
54,119.0
55,210.0
56,199.0
57,420.0
58,285.0
59,320.0
60,360.0
61,230.0
62,260.0
63,190.0
64,270.0
65,260.0
66,480.0
67,1800.0
68,430.0
69,850.0
70,330.0
71,2100.0
72,1030.0
73,1150.0
74,800.0
75,530.0
76,430.0
77,310.0
78,235.0
79,413.0
80,1150.0
81,220.0
82,250.0
83,1000.0
84,1400.0
85,210.0
86,308.0
87,223.0
88,320.0
89,265.0
90,240.0
91,260.0
92,230.0
93,398.0
94,320.0
95,230.0
96,238.0
97,253.0
98,390.0
99,260.0
100,236.0
101,238.0
102,445.0
103,295.0
104,365.0
105,380.0
106,310.0
107,370.0
108,340.0
109,245.0
110,265.0
111,295.0
112,210.0
113,235.0
114,275.0
115,285.0
116,780.0
117,330.0
118,305.0
119,338.0
120,350.0
121,328.0
122,260.0
123,260.0
124,228.0
125,850.0
126,155.0
127,649.0
128,178.0
129,320.0
130,283.0
131,1300.0
132,268.0
133,310.0
134,239.0
135,730.0
136,320.0
137,505.0
138,445.0
139,229.0
140,215.0
141,1090.0
142,246.0
143,350.0
144,170.0
145,420.0
146,317.0
147,240.0
148,565.0
149,478.0
150,300.0
151,375.0
152,386.0
153,837.0
154,670.0
155,265.0
156,274.0
157,298.0
158,330.0
159,649.0
160,400.0
161,569.0
162,439.0
163,390.0
164,393.0
165,280.0
166,400.0
167,364.0
168,285.0
169,290.0
170,188.0
171,360.0
172,413.0
173,303.0
174,720.0
175,290.0
176,310.0
177,240.0
178,290.0
179,380.0
180,380.0
181,390.0
182,320.0
183,418.0
184,308.0
185,370.0
186,255.0
187,411.0
188,200.0
189,297.0
190,679.0
191,400.0
192,295.0
193,269.0
194,240.0
195,216.0
196,328.0
197,205.0
198,280.0
199,825.0
200,560.0
201,210.0
202,298.0
203,380.0
204,230.0
205,298.0
206,290.0
207,389.0
208,246.0
209,230.0
210,510.0
211,249.0
212,395.0
213,330.0
214,342.0
215,238.0
216,190.0
217,355.0
218,265.0
219,245.0
220,310.0
221,298.0
222,640.0
223,378.0
224,200.0
225,261.0
226,245.0
227,295.0
228,210.0
229,385.0
230,378.0
231,376.5
232,236.0
233,203.0
234,302.0
235,410.0
236,350.0
237,366.0
238,248.0
239,400.0
240,340.0
241,365.0
242,275.0
243,365.0
244,195.0
245,249.0
246,319.0
247,262.0
248,255.0
249,365.0
250,245.0
251,213.0
252,395.0
253,97.0
254,255.0
255,218.0
256,135.0
257,288.0
258,320.0
259,275.0
260,230.0
261,120.0
262,153.0
263,275.0
264,120.0
265,125.0
266,110.0
267,108.0
268,200.0
269,125.0
270,695.0
271,110.0
272,280.0
273,290.0
274,205.0
275,500.0
276,240.0
277,980.0
278,228.0
279,280.0
280,108.0
281,105.0
282,663.0
283,260.0
284,310.0
285,420.0
286,260.0
287,169.0
288,355.0
289,274.0
290,537.0
291,320.0
292,312.0
293,345.0
294,320.0
295,130.0
296,99.0
297,115.0
298,490.0
299,190.0
300,200.0
301,419.0
302,259.0
303,260.0
304,265.0
305,258.0
306,260.0
307,275.0
308,99.0
309,230.0
310,260.0
311,260.0
312,430.0
313,352.0
314,243.0
315,1040.0
316,308.0
317,260.0
318,190.0
319,1000.0
320,240.0
321,267.0
322,279.0
323,235.0
324,190.0
325,120.0
326,175.0
327,185.0
328,250.0
329,260.0
330,120.0
331,170.0
332,148.0
333,97.0
334,490.0
335,170.0
336,312.0
337,110.0
338,152.0
339,155.0
340,155.0
341,260.0
342,155.0
343,102.0
344,165.0
345,355.0
346,238.0
347,260.0
348,176.0
349,156.0
350,100.0
351,468.0
352,175.0
353,1400.0
354,240.0
