,Direction,District,Elevator,Floor,Garden,Layout,Price,Size,Year,东城,丰台,亦庄开发区,大兴,密云,平谷,怀柔,房山,昌平,朝阳,海淀,石景山,西城,通州,门头沟,顺义,其他,南北,毛坯,简装,精装
0,东西,灯市口,,6,锡拉胡同21号院,3室1厅,780.0,75.0,1988,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,南北,东单,无电梯,6,东华门大街,2室1厅,705.0,60.0,1988,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,南西,崇文门,有电梯,16,新世界中心,3室1厅,1400.0,210.0,1996,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,南,崇文门,,7,兴隆都市馨园,1室1厅,420.0,39.0,2004,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,南,陶然亭,有电梯,19,中海紫御公馆,2室2厅,998.0,90.0,2010,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,南北,广渠门,有电梯,18,幸福家园二期,2室1厅,1180.0,111.0,2003,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,南,西罗园,无电梯,6,西革新里110号院,1室1厅,319.0,42.0,1992,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7,南,西罗园,有电梯,16,建予园,2室1厅,640.0,105.0,1999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,南北,东花市,有电梯,9,富贵园一区,3室2厅,1780.0,161.0,2003,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,东北,东直门,有电梯,25,万国城MOMA,2室2厅,1300.0,127.0,2002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,南,工体,无电梯,5,十字坡东里,1室1厅,405.0,37.0,1986,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,南,地安门,无电梯,5,帽儿胡同45号院,2室1厅,700.0,50.0,1985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
12,西,广渠门,有电梯,19,金桥国际,1室1厅,462.0,54.0,2004,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,西,崇文门,有电梯,18,太华公寓,1室0厅,518.0,64.0,2000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14,西南,菜户营,有电梯,23,信德园,3室1厅,960.0,146.0,2002,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
15,东,木樨地,无电梯,4,西便门外大街,2室0厅,457.0,50.0,1957,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
16,西北,马甸,,18,双旗杆东里,2室1厅,610.0,58.0,1986,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
17,北,马连道,有电梯,18,第三区,2房间2卫,340.0,33.0,2011,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
18,西南,六铺炕,有电梯,17,六铺炕二区,3室1厅,1120.0,78.0,1990,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
19,北,广安门,有电梯,26,荣丰2008,1室0厅,320.0,28.0,2006,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
20,南北,牛街,有电梯,12,平原里小区,2室1厅,596.0,59.0,1999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
21,南北,木樨地,有电梯,18,真武庙六里,2室1厅,888.0,78.0,1988,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
22,西北,右安门内,无电梯,7,右安门内大街,1室1厅,405.0,45.0,1991,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
23,南北,西直门,无电梯,6,玉桃园二区,2室1厅,650.0,60.0,1997,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
24,南北,马连道,无电梯,7,红莲南里,2室1厅,470.0,61.0,1992,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
25,南,牛街,,6,白广路6号院,3室0厅,635.0,84.0,1955,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
26,西,亚运村小营,有电梯,7,育慧里一区,1室0厅,343.0,52.0,2001,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
27,南北,望京,有电梯,10,大西洋新城A区,2室2厅,835.0,86.0,1999,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
28,东西,团结湖,无电梯,6,团结湖路,2室1厅,430.0,65.0,1980,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
29,南北,三元桥,有电梯,12,尚家楼48号院,2室1厅,610.0,75.0,1998,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
