District,Garden,Layout,Floor,Year,Size,Direction,Renovation,Price,Elevator
灯市口,锡拉胡同21号院,3室1厅,6,1988,75.0,东西,精装,780.0,0
崇文门,兴隆都市馨园,1室1厅,7,2004,39.0,南,精装,420.0,1
马甸,双旗杆东里,2室1厅,18,1986,58.0,西北,简装,610.0,1
牛街,白广路6号院,3室0厅,6,1955,84.0,南,简装,635.0,0
高碑店,兴隆家园,3室1厅,6,2000,116.0,南北,精装,696.0,0
北苑,北苑家园望春园,2室1厅,14,2006,108.0,南北,精装,680.0,1
华威桥,双龙南里,3室1厅,18,1993,72.0,南北,简装,409.0,1
亚运村,名人公寓,4室2厅,17,2002,379.0,南,精装,2000.0,1
安宁庄,上林溪,1室0厅,11,2011,44.0,南,精装,380.0,1
北太平庄,庚坊国际,1室0厅,16,2005,47.0,西,简装,360.0,1
军博,北蜂窝103号院,2室1厅,6,1986,57.0,东西,其他,446.0,0
五道口,东王庄,3室1厅,6,1997,90.0,南北,精装,835.0,0
田村,田村39号院,2室1厅,6,1996,72.0,南北,简装,490.0,0
青塔,春园,2室1厅,24,2001,98.0,西南,精装,500.0,1
青塔,青塔东里,2室1厅,7,2000,84.0,南北,简装,450.0,0
花乡,期颐百年,2室1厅,9,2011,87.0,南西,简装,419.0,1
方庄,芳古园二区,4室2厅,22,2000,171.0,东北,精装,1196.0,1
菜户营,万泉寺东路9号院,3室2厅,14,2008,105.0,西北,简装,610.0,1
右安门外,玉林东里一区,3室1厅,6,1995,69.0,南北,精装,445.0,0
太平桥,尚西泊图,3室1厅,21,2004,127.0,东南北,其他,750.0,1
新宫,天骄俊园9号院,2室1厅,15,2012,96.0,南北,精装,520.0,1
青塔,广安﹒康馨家园,2室1厅,18,2015,69.0,南,简装,332.0,1
青塔,广安﹒康馨家园,2室1厅,34,2015,72.0,南,其他,345.0,1
青塔,广安﹒康馨家园,2室1厅,28,2014,73.0,南北,简装,350.0,1
方庄,芳星园三区,3室1厅,15,2000,86.0,南北,简装,490.0,1
旧宫,菊源里,4室2厅,6,2001,156.0,南北,其他,760.0,0
科技园区,北京方向,1室1厅,14,2015,61.0,南,精装,385.0,1
西关环岛,秋实家园,3室2厅,6,2000,127.0,南北,简装,335.0,0
北七家,温泉花园B区,1室1厅,6,2002,56.0,南北,精装,252.0,0
回龙观,流星花园三区,1室0厅,11,2006,47.0,北,其他,300.0,1
小汤山,纳帕澜郡,3室2厅,12,2013,139.0,南北,其他,518.0,1
北七家,王府园中园六区,3室2厅,6,2001,212.0,南北,精装,750.0,0
北七家,蓬莱苑C区,5室2厅,2,2003,213.0,南北,精装,1500.0,3
南邵,龙山跃,3房间2卫,24,2006,58.0,东西,精装,220.0,1
回龙观,北回归线,2房间1卫,7,2009,66.0,北,精装,235.0,4
天通苑,天通苑本六区,3室1厅,6,2001,131.0,南北,简装,445.0,0
