,Region,District,Garden,Layout,Floor,Year,Size,Direction,Renovation,Price,Elevator
0,东城,东单,东华门大街,2室1厅,6,1988,60.0,南北,精装,705.0,无电梯
1,东城,崇文门,新世界中心,3室1厅,16,1996,210.0,南西,其他,1400.0,有电梯
2,东城,陶然亭,中海紫御公馆,2室2厅,19,2010,90.0,南,精装,998.0,有电梯
3,东城,广渠门,幸福家园二期,2室1厅,18,2003,111.0,南北,其他,1180.0,有电梯
4,东城,西罗园,西革新里110号院,1室1厅,6,1992,42.0,南,其他,319.0,无电梯
5,东城,西罗园,建予园,2室1厅,16,1999,105.0,南,其他,640.0,有电梯
6,东城,东花市,富贵园一区,3室2厅,9,2003,161.0,南北,精装,1780.0,有电梯
7,东城,东直门,万国城MOMA,2室2厅,25,2002,127.0,东北,精装,1300.0,有电梯
8,东城,工体,十字坡东里,1室1厅,5,1986,37.0,南,精装,405.0,无电梯
9,东城,地安门,帽儿胡同45号院,2室1厅,5,1985,50.0,南,其他,700.0,无电梯
10,东城,广渠门,金桥国际,1室1厅,19,2004,54.0,西,精装,462.0,有电梯
11,东城,崇文门,太华公寓,1室0厅,18,2000,64.0,西,精装,518.0,有电梯
12,西城,菜户营,信德园,3室1厅,23,2002,146.0,西南,其他,960.0,有电梯
13,西城,木樨地,西便门外大街,2室0厅,4,1957,50.0,东,简装,457.0,无电梯
14,西城,马连道,第三区,2房间2卫,18,2011,33.0,北,精装,340.0,有电梯
15,西城,六铺炕,六铺炕二区,3室1厅,17,1990,78.0,西南,其他,1120.0,有电梯
16,西城,广安门,荣丰2008,1室0厅,26,2006,28.0,北,精装,320.0,有电梯
17,西城,牛街,平原里小区,2室1厅,12,1999,59.0,南北,简装,596.0,有电梯
18,西城,木樨地,真武庙六里,2室1厅,18,1988,78.0,南北,精装,888.0,有电梯
19,西城,右安门内,右安门内大街,1室1厅,7,1991,45.0,西北,其他,405.0,无电梯
20,西城,西直门,玉桃园二区,2室1厅,6,1997,60.0,南北,简装,650.0,无电梯
21,西城,马连道,红莲南里,2室1厅,7,1992,61.0,南北,精装,470.0,无电梯
22,朝阳,亚运村小营,育慧里一区,1室0厅,7,2001,52.0,西,精装,343.0,有电梯
23,朝阳,望京,大西洋新城A区,2室2厅,10,1999,86.0,南北,精装,835.0,有电梯
24,朝阳,团结湖,团结湖路,2室1厅,6,1980,65.0,东西,精装,430.0,无电梯
25,朝阳,三元桥,尚家楼48号院,2室1厅,12,1998,75.0,南北,精装,610.0,有电梯
26,朝阳,望京,望京西园一区,3室2厅,6,1997,115.0,南北,精装,710.0,无电梯
27,朝阳,亚运村,安慧里四区,2室2厅,20,1990,71.0,南西南,精装,545.0,有电梯
28,朝阳,朝阳公园,泰华滨河苑,2室1厅,18,2005,105.0,南北,精装,670.0,有电梯
29,朝阳,望京,北京香颂,3室2厅,17,2009,146.0,南北,简装,1200.0,有电梯
30,朝阳,豆各庄,京城雅居,3室2厅,6,2004,259.0,南北,精装,1295.0,无电梯
31,朝阳,亚运村小营,一瓶四和院,5室2厅,19,2009,151.0,西南西北,精装,1500.0,有电梯
32,朝阳,四惠,东恒时代一期,3室2厅,32,2003,142.0,西南,精装,930.0,有电梯
33,朝阳,北苑,润泽悦溪,2室1厅,11,2010,86.0,东西,简装,665.0,有电梯
34,朝阳,潘家园,潘家园小区,3室1厅,6,1994,83.0,东西,简装,490.0,无电梯
35,朝阳,十里堡,东恒时代三期,2室2厅,27,2008,108.0,西南,精装,720.0,有电梯
36,朝阳,太阳宫,红玺台,3室2厅,25,2011,161.0,南北,精装,2400.0,有电梯
37,朝阳,双井,九龙花园,2室2厅,22,2001,109.0,西,其他,720.0,有电梯
38,朝阳,四惠,远洋天地三期,1室1厅,14,2004,73.0,西,精装,580.0,有电梯
39,朝阳,甜水园,华阳家园,2室1厅,22,2002,115.0,东南,精装,865.0,有电梯
40,朝阳,亚运村,华馨公寓,3室2厅,13,1999,176.0,南北,简装,1350.0,有电梯
41,朝阳,双井,双花园南里一区,3室1厅,22,2000,138.0,东北,精装,790.0,有电梯
42,朝阳,望京,融科橄榄城二期,2室1厅,28,2007,95.0,南,精装,1000.0,有电梯
43,朝阳,芍药居,芍药居2号院,3室2厅,7,1999,137.0,南北,精装,960.0,无电梯
44,朝阳,惠新西街,罗马花园,3室1厅,25,1995,164.0,东,精装,980.0,有电梯
