Direction,District,Elevator,Floor,Garden,Room,Hall,Price,Region,Renovation,Size,Year
南北,东单,无电梯,6,东华门大街,2,1,705.0,东城,精装,60,1988
南西,崇文门,有电梯,16,新世界中心,3,1,1400.0,东城,其他,210,1996
南,陶然亭,有电梯,19,中海紫御公馆,2,2,998.0,东城,精装,90,2010
南北,广渠门,有电梯,18,幸福家园二期,2,1,1180.0,东城,其他,111,2003
南,西罗园,无电梯,6,西革新里110号院,1,1,319.0,东城,其他,42,1992
南,西罗园,有电梯,16,建予园,2,1,640.0,东城,其他,105,1999
南北,东花市,有电梯,9,富贵园一区,3,2,1780.0,东城,精装,161,2003
东北,东直门,有电梯,25,万国城MOMA,2,2,1300.0,东城,精装,127,2002
南,工体,无电梯,5,十字坡东里,1,1,405.0,东城,精装,37,1986
南,地安门,无电梯,5,帽儿胡同45号院,2,1,700.0,东城,其他,50,1985
西,广渠门,有电梯,19,金桥国际,1,1,462.0,东城,精装,54,2004
西,崇文门,有电梯,18,太华公寓,1,0,518.0,东城,精装,64,2000
西南,菜户营,有电梯,23,信德园,3,1,960.0,西城,其他,146,2002
东,木樨地,无电梯,4,西便门外大街,2,0,457.0,西城,简装,50,1957
北,马连道,有电梯,18,第三区,2,2,340.0,西城,精装,33,2011
西南,六铺炕,有电梯,17,六铺炕二区,3,1,1120.0,西城,其他,78,1990
北,广安门,有电梯,26,荣丰2008,1,0,320.0,西城,精装,28,2006
南北,牛街,有电梯,12,平原里小区,2,1,596.0,西城,简装,59,1999
南北,木樨地,有电梯,18,真武庙六里,2,1,888.0,西城,精装,78,1988
西北,右安门内,无电梯,7,右安门内大街,1,1,405.0,西城,其他,45,1991
南北,西直门,无电梯,6,玉桃园二区,2,1,650.0,西城,简装,60,1997
南北,马连道,无电梯,7,红莲南里,2,1,470.0,西城,精装,61,1992
西,亚运村小营,有电梯,7,育慧里一区,1,0,343.0,朝阳,精装,52,2001
南北,望京,有电梯,10,大西洋新城A区,2,2,835.0,朝阳,精装,86,1999
东西,团结湖,无电梯,6,团结湖路,2,1,430.0,朝阳,精装,65,1980
南北,三元桥,有电梯,12,尚家楼48号院,2,1,610.0,朝阳,精装,75,1998
南北,望京,无电梯,6,望京西园一区,3,2,710.0,朝阳,精装,115,1997
南西南,亚运村,有电梯,20,安慧里四区,2,2,545.0,朝阳,精装,71,1990
南北,朝阳公园,有电梯,18,泰华滨河苑,2,1,670.0,朝阳,精装,105,2005
南北,望京,有电梯,17,北京香颂,3,2,1200.0,朝阳,简装,146,2009
南北,豆各庄,无电梯,6,京城雅居,3,2,1295.0,朝阳,精装,259,2004
西南西北,亚运村小营,有电梯,19,一瓶四和院,5,2,1500.0,朝阳,精装,151,2009
西南,四惠,有电梯,32,东恒时代一期,3,2,930.0,朝阳,精装,142,2003
东西,北苑,有电梯,11,润泽悦溪,2,1,665.0,朝阳,简装,86,2010
东西,潘家园,无电梯,6,潘家园小区,3,1,490.0,朝阳,简装,83,1994
西南,十里堡,有电梯,27,东恒时代三期,2,2,720.0,朝阳,精装,108,2008
南北,太阳宫,有电梯,25,红玺台,3,2,2400.0,朝阳,精装,161,2011
西,双井,有电梯,22,九龙花园,2,2,720.0,朝阳,其他,109,2001
西,四惠,有电梯,14,远洋天地三期,1,1,580.0,朝阳,精装,73,2004
东南,甜水园,有电梯,22,华阳家园,2,1,865.0,朝阳,精装,115,2002
南北,亚运村,有电梯,13,华馨公寓,3,2,1350.0,朝阳,简装,176,1999
东北,双井,有电梯,22,双花园南里一区,3,1,790.0,朝阳,精装,138,2000
南,望京,有电梯,28,融科橄榄城二期,2,1,1000.0,朝阳,精装,95,2007
南北,芍药居,无电梯,7,芍药居2号院,3,2,960.0,朝阳,精装,137,1999
东,惠新西街,有电梯,25,罗马花园,3,1,980.0,朝阳,精装,164,1995
南北,四惠,无电梯,5,八里庄东里北巷,3,1,392.0,朝阳,简装,68,1981
南北,豆各庄,无电梯,3,扬州水乡,3,2,820.0,朝阳,简装,164,2004
西南东北,双井,有电梯,22,双花园南里二区,3,1,849.0,朝阳,精装,116,2002
西南,学院路,有电梯,21,学知轩,2,1,600.0,海淀,精装,89,2001
东,万柳,有电梯,10,万泉新新商务花园,1,1,750.0,海淀,精装,58,2003
南北,田村,有电梯,9,碧森里,3,2,1020.0,海淀,简装,132,2004
南北,世纪城,有电梯,7,远大园四区,3,2,1900.0,海淀,简装,153,2000
南北,公主坟,无电梯,5,翠微路2号院,2,1,476.0,海淀,简装,47,1980
西北,紫竹桥,有电梯,18,北洼路28号院,4,2,1239.0,海淀,简装,177,1996
南北,玉泉路,有电梯,5,长安山麓,3,3,2000.0,海淀,其他,179,2012
东西,定慧寺,无电梯,5,永安东里,2,1,550.0,海淀,简装,79,1998
南北,清河,有电梯,9,金隅美和园,2,1,560.0,海淀,精装,82,2008
西南,牡丹园,有电梯,26,中鑫嘉园,1,1,639.0,海淀,精装,78,2004
南北,颐和园,无电梯,6,骚子营,3,1,550.0,海淀,精装,68,1987
南北,五棵松,无电梯,6,六建,3,1,700.0,海淀,简装,82,1992
南北,四季青,无电梯,6,美丽西园,2,1,740.0,海淀,精装,93,2002
南,万寿路,无电梯,5,万寿路1号院,2,1,445.0,海淀,精装,55,1978
南北,上地,无电梯,5,上地东里,3,2,1500.0,海淀,其他,164,1996
南北,海淀北部新区,有电梯,9,正源尚峰尚水,3,2,795.0,海淀,精装,131,2012
东西北,紫竹桥,有电梯,18,北洼东里,3,2,839.0,海淀,精装,98,1999
南,公主坟,有电梯,18,翠微南里,2,1,720.0,海淀,简装,81,1990
南北,西北旺,有电梯,7,西山公馆,3,1,1250.0,海淀,精装,150,2010
西北,西二旗,有电梯,18,铭科苑,3,1,560.0,海淀,其他,114,1999
西南,双榆树,有电梯,20,知春路82号院,3,1,1350.0,海淀,其他,115,1998
东,紫竹桥,有电梯,25,紫竹花园,2,1,1150.0,海淀,简装,164,2001
南北,圆明园,无电梯,6,北河沿,3,1,630.0,海淀,其他,57,1988
南北,学院路,无电梯,3,生态园,2,1,560.0,海淀,简装,62,1994
东南,六里桥,无电梯,6,莲怡园北路1号院,3,1,545.0,丰台,简装,79,1998
南,青塔,无电梯,6,张仪村4号院,1,1,230.0,丰台,其他,42,1995
东北,角门,有电梯,19,角门东里,2,1,380.0,丰台,精装,73,1995
东北,马家堡,有电梯,18,未来明珠,2,1,625.0,丰台,精装,110,2003
南,北大地,无电梯,6,西四环南路96号,2,1,310.0,丰台,简装,57,1989
南北,五里店,无电梯,6,程庄路3号院,2,1,270.0,丰台,精装,60,1980
东南,旧宫,有电梯,16,万源北路7号院,2,2,419.0,丰台,精装,93,2012
南北,北大地,无电梯,6,北大地四里,2,1,380.0,丰台,精装,64,1991
西南,菜户营,有电梯,30,鹏润家园,3,2,1250.0,丰台,其他,207,2001
南北,马家堡,无电梯,6,角门16号院,2,1,345.0,丰台,其他,60,1998
南北,青塔,有电梯,26,广安﹒康馨家园,2,1,365.0,丰台,简装,76,2013
东南,赵公口,有电梯,20,康泽园,2,1,460.0,丰台,简装,89,2001
东南,方庄,有电梯,27,芳城园一区,3,1,614.0,丰台,简装,97,1994
南北,新宫,无电梯,6,翠海明苑,2,1,550.0,丰台,精装,90,2005
东西,洋桥,无电梯,6,洋桥北里,2,1,335.0,丰台,简装,59,1988
西,青塔,有电梯,20,蔚园,3,1,500.0,丰台,其他,94,1996
南北,鼓楼大街,有电梯,28,石坊院,2,1,475.0,昌平,简装,130,2010
南,鼓楼大街,无电梯,6,新悦家园,1,0,200.0,昌平,精装,38,2003
北,沙河,无电梯,6,善缘嘉园,1,1,138.0,昌平,简装,22,2006
南,鼓楼大街,无电梯,6,石坊院,1,1,245.0,昌平,精装,54,1989
东西北,天通苑,有电梯,21,天通公园里,1,0,295.0,昌平,精装,48,2008
东,西关环岛,有电梯,15,蓝郡国际花园,1,0,230.0,昌平,简装,53,2009
南北,东关,无电梯,6,京科苑,3,1,370.0,昌平,其他,118,1998
南北,西关环岛,无电梯,6,水屯家园,3,1,315.0,昌平,其他,120,2003
南北,北七家,无电梯,7,名流花园,2,2,360.0,昌平,简装,91,1996
西南,天通苑,有电梯,24,天通公园里,3,3,248.0,昌平,精装,54,2008
南,回龙观,有电梯,7,上北鑫座,1,1,125.0,昌平,精装,38,2012
西南,北七家,无电梯,7,名流花园,3,2,420.0,昌平,简装,128,1998
南北,回龙观,无电梯,7,云趣园一区,3,2,510.0,昌平,简装,145,2000
南北,鼓楼大街,无电梯,6,和平街东里,3,1,290.0,昌平,精装,87,1994
西,沙河,有电梯,17,北街家园七区,1,1,180.0,昌平,简装,19,2010
