Direction,District,Elevator,Floor,Garden,Room,Hall,Price,Region,Renovation,Size,Year
东西,灯市口,,6,锡拉胡同21号院,3,1,780.0,东城,精装,75,1988
南,崇文门,,7,兴隆都市馨园,1,1,420.0,东城,精装,39,2004
西北,马甸,,18,双旗杆东里,2,1,610.0,西城,简装,58,1986
南,牛街,,6,白广路6号院,3,0,635.0,西城,简装,84,1955
南北,高碑店,,6,兴隆家园,3,1,696.0,朝阳,精装,116,2000
南北,北苑,,14,北苑家园望春园,2,1,680.0,朝阳,精装,108,2006
南北,华威桥,,18,双龙南里,3,1,409.0,朝阳,简装,72,1993
南,亚运村,,17,名人公寓,4,2,2000.0,朝阳,精装,379,2002
南,安宁庄,,11,上林溪,1,0,380.0,海淀,精装,44,2011
西,北太平庄,,16,庚坊国际,1,0,360.0,海淀,简装,47,2005
东西,军博,,6,北蜂窝103号院,2,1,446.0,海淀,其他,57,1986
南北,五道口,,6,东王庄,3,1,835.0,海淀,精装,90,1997
南北,田村,,6,田村39号院,2,1,490.0,海淀,简装,72,1996
西南,青塔,,24,春园,2,1,500.0,丰台,精装,98,2001
南北,青塔,,7,青塔东里,2,1,450.0,丰台,简装,84,2000
南西,花乡,,9,期颐百年,2,1,419.0,丰台,简装,87,2011
东北,方庄,,22,芳古园二区,4,2,1196.0,丰台,精装,171,2000
西北,菜户营,,14,万泉寺东路9号院,3,2,610.0,丰台,简装,105,2008
南北,右安门外,,6,玉林东里一区,3,1,445.0,丰台,精装,69,1995
东南北,太平桥,,21,尚西泊图,3,1,750.0,丰台,其他,127,2004
南北,新宫,,15,天骄俊园9号院,2,1,520.0,丰台,精装,96,2012
南,青塔,,18,广安﹒康馨家园,2,1,332.0,丰台,简装,69,2015
南,青塔,,34,广安﹒康馨家园,2,1,345.0,丰台,其他,72,2015
南北,青塔,,28,广安﹒康馨家园,2,1,350.0,丰台,简装,73,2014
南北,方庄,,15,芳星园三区,3,1,490.0,丰台,简装,86,2000
南北,旧宫,,6,菊源里,4,2,760.0,丰台,其他,156,2001
南,科技园区,,14,北京方向,1,1,385.0,丰台,精装,61,2015
南北,西关环岛,,6,秋实家园,3,2,335.0,昌平,简装,127,2000
南北,北七家,,6,温泉花园B区,1,1,252.0,昌平,精装,56,2002
北,回龙观,,11,流星花园三区,1,0,300.0,昌平,其他,47,2006
南北,小汤山,,12,纳帕澜郡,3,2,518.0,昌平,其他,139,2013
南北,北七家,,6,王府园中园六区,3,2,750.0,昌平,精装,212,2001
南北,北七家,,2,蓬莱苑C区,5,2,1500.0,昌平,精装,213,2003
东西,南邵,,24,龙山跃,3,0,220.0,昌平,精装,58,2006
北,回龙观,,7,北回归线,2,0,235.0,昌平,精装,66,2009
南北,天通苑,,6,天通苑本六区,3,1,445.0,昌平,简装,131,2001
南北,北七家,,3,远洋傲北,5,2,1250.0,昌平,毛坯,333,2013
西,旧宫,,17,东亚五环国际,1,0,104.0,大兴,精装,34,2014
东西北,亦庄,,9,金融街漫香林第6区,4,0,350.0,大兴,精装,86,2016
南北,亦庄,,9,金融街漫香林第6区,4,0,330.0,大兴,精装,93,2016
南北,大兴其它,,15,首座御园二区二期,3,1,525.0,大兴,精装,116,2015
南北,天宫院,,26,龙湖时代天街,4,1,788.0,大兴,简装,169,2014
西北,天宫院,,8,珺悦国际,3,0,240.0,大兴,精装,101,2014
南北,天宫院,,19,云立方,2,1,354.0,大兴,简装,84,2014
东西,亦庄,,9,金融街漫香林第6区,4,0,300.0,大兴,精装,89,2016
东,长阳,,8,怡和南路11号院,1,0,110.0,房山,精装,42,2016
东,长阳,,8,怡和南路11号院,1,0,140.0,房山,其他,46,2016
南北,良乡,,15,辰光嘉园,5,2,658.0,房山,其他,234,2003
南北,长阳,,4,长阳半岛怡和路6号院,3,2,695.0,房山,其他,139,2015
东,长阳,,8,怡和南路11号院,2,0,108.0,房山,精装,42,2016
南,城关,,19,中国铁建原香漫谷,2,2,252.0,房山,毛坯,95,2015
南,窦店,,9,北京城建琨廷,2,1,255.0,房山,精装,85,2013
南北,城关,,16,中冶蓝城,2,1,255.0,房山,精装,89,2014
西,长阳,,5,五和万科长阳天地,2,0,135.0,房山,精装,47,2016
东,良乡,,18,首开熙悦睿府书香,1,0,119.0,房山,精装,50,2014
南北,平谷其它,,18,首城汇景湾,2,2,210.0,平谷,其他,87,2014
东北,平谷其它,,18,首城汇景湾,1,1,199.0,平谷,其他,67,2014
南北,平谷其它,,12,首城汇景湾,3,2,420.0,平谷,精装,124,2015
南北,平谷其它,,17,新华联慧谷,2,2,285.0,平谷,精装,102,2015
南北,平谷其它,,12,中昂邑上原著,2,1,320.0,平谷,精装,76,2015
南北,平谷其它,,18,首城汇景湾,3,2,360.0,平谷,其他,134,2014
南北,平谷其它,,18,首城汇景湾,2,2,230.0,平谷,其他,88,2014
南北,平谷其它,,11,首城汇景湾,2,2,260.0,平谷,其他,89,2015
南北,平谷其它,,18,首城汇景湾,1,1,190.0,平谷,其他,74,2014
南北,平谷其它,,18,首城汇景湾,3,1,270.0,平谷,其他,116,2014
南北,平谷其它,,16,首城汇景湾,2,2,260.0,平谷,精装,91,2014
南北,平谷其它,,13,首城汇景湾,4,2,480.0,平谷,精装,194,2014
南北,怀柔,,2,龙山新新小镇六期,5,2,1800.0,怀柔,精装,457,2009
南北,怀柔,,4,顶秀美泉小镇,2,1,430.0,怀柔,精装,89,2010
南北,怀柔,,2,龙山新新小镇六期,6,4,850.0,怀柔,精装,163,2008
南北,怀柔,,1,融城园南区,3,1,330.0,怀柔,简装,87,1998
南北,怀柔,,2,龙山新新小镇六期,5,3,2100.0,怀柔,精装,585,2008
南北,怀柔,,2,欧郡香水城,5,2,1030.0,怀柔,毛坯,343,2011
东南北,怀柔,,2,八龙桥雅苑,5,2,1150.0,怀柔,其他,307,2008
南北,怀柔,,2,龙山新新小镇六期,4,2,800.0,怀柔,简装,163,2008
南北,怀柔,,4,顶秀美泉小镇,3,2,530.0,怀柔,其他,133,2010
南北,怀柔,,4,顶秀美泉家园,3,2,430.0,怀柔,其他,88,2012
南北,怀柔,,6,融城园北区,3,1,310.0,怀柔,精装,104,2003
南北,怀柔,,6,融城园南区,3,1,235.0,怀柔,其他,80,1997
南北,怀柔,,8,益田影人四季花园,2,2,413.0,怀柔,精装,103,2012
南北,怀柔,,2,欧郡香水城,5,3,1150.0,怀柔,精装,345,2008
东北,怀柔,,6,康馨家园,1,1,220.0,怀柔,简装,57,2003
南北,密云其它,,16,首创澜茵山,4,1,250.0,密云,简装,123,2016
南北,密云其它,,2,君山别墅,3,2,1000.0,密云,毛坯,391,2011
南北,密云其它,,2,君山别墅,5,3,1400.0,密云,精装,468,2012
南北,密云其它,,6,京溪小区,3,1,210.0,密云,其他,102,2007
南北,密云其它,,6,檀州家园东区,3,2,308.0,密云,其他,141,2006
西北,密云其它,,6,保利花园,2,1,223.0,密云,精装,74,2011
南北,密云其它,,6,保利花园,3,2,320.0,密云,其他,123,2011
南北,密云其它,,16,首创澜茵山,3,2,265.0,密云,其他,123,2014
南北,密云其它,,6,石桥西区,3,2,240.0,密云,其他,102,2009
南北,密云其它,,6,果园新里南区,3,2,260.0,密云,精装,108,2004
南北,密云其它,,7,首创澜茵山,3,2,230.0,密云,其他,98,2016
南北,密云其它,,6,檀城西区,6,2,398.0,密云,精装,198,2009
南北,平谷其它,,2,峪上桃墅林,3,2,320.0,平谷,精装,121,2007
南西北,平谷其它,,12,首城汇景湾,2,1,230.0,平谷,毛坯,85,2014
南北,平谷其它,,8,首城汇景湾,2,1,238.0,平谷,精装,86,2014
南,平谷其它,,18,首城汇景湾,2,1,253.0,平谷,精装,87,2014
南北,平谷其它,,9,首城汇景湾,3,1,390.0,平谷,毛坯,127,2014
南,平谷其它,,18,首城汇景湾,2,1,260.0,平谷,其他,87,2014
南北,平谷其它,,10,首城汇景湾,2,2,236.0,平谷,精装,87,2014
南北,平谷其它,,10,首城汇景湾,2,2,238.0,平谷,其他,87,2014
南北,平谷其它,,9,首城汇景湾,3,2,445.0,平谷,毛坯,157,2014
南西北,平谷其它,,18,腾飞园,3,2,295.0,平谷,精装,134,2016
南北,平谷其它,,9,首城汇景湾,3,2,365.0,平谷,精装,134,2014
南北,平谷其它,,9,首城汇景湾,3,2,380.0,平谷,精装,152,2014
南北,平谷其它,,12,首城汇景湾,3,1,310.0,平谷,其他,131,2015
南北,平谷其它,,9,首城汇景湾,3,2,370.0,平谷,毛坯,139,2014
南北,平谷其它,,11,首城汇景湾,3,2,340.0,平谷,简装,135,2014
南北,平谷其它,,18,新华联慧谷,2,1,245.0,平谷,其他,87,2015
南北,平谷其它,,18,首城汇景湾,2,1,265.0,平谷,其他,86,2014
南北,平谷其它,,18,首城汇景湾,3,2,295.0,平谷,其他,118,2014
西北,平谷其它,,18,首城汇景湾,1,1,210.0,平谷,精装,67,2014
南,平谷其它,,18,首城汇景湾,2,1,235.0,平谷,其他,85,2014
南北,平谷其它,,17,新华联慧谷,2,2,275.0,平谷,其他,101,2015
东南南北,平谷其它,,17,新华联慧谷,2,2,285.0,平谷,精装,102,2015
南北,平谷其它,,15,首城汇景湾,3,2,780.0,平谷,毛坯,337,2014
南北,平谷其它,,18,首城汇景湾,3,2,330.0,平谷,其他,117,2014
南北,平谷其它,,17,紫贵御园,3,2,305.0,平谷,精装,107,2016
南北,平谷其它,,18,首城汇景湾,3,2,338.0,平谷,毛坯,136,2014
南北,平谷其它,,9,首城汇景湾,3,1,350.0,平谷,毛坯,151,2014
南北,平谷其它,,18,新华联慧谷,3,2,328.0,平谷,其他,125,2016
南北,平谷其它,,11,首城汇景湾,2,2,260.0,平谷,简装,88,2014
西南,门头沟其它,,25,中国铁建梧桐汇,3,0,260.0,门头沟,简装,86,2015
南,大峪,,15,惠民家园,1,0,228.0,门头沟,简装,53,2010
南北,门头沟其它,,8,檀香府,3,2,850.0,门头沟,毛坯,171,2016
南北,门头沟其它,,4,南宫,2,0,155.0,门头沟,简装,39,1958
南北,门头沟其它,,6,檀香府,3,1,649.0,门头沟,其他,135,2016
南,大峪,,7,黑山东街,1,1,178.0,门头沟,简装,41,1994
南北,大峪,,6,峪园小区,2,1,320.0,门头沟,其他,96,1997
南北,门头沟其它,,6,惠泽家园,2,1,283.0,门头沟,其他,89,2010
南北,门头沟其它,,5,檀香府,4,1,1300.0,门头沟,毛坯,236,2016
东西,大峪,,6,黑山大街15号,2,1,268.0,门头沟,精装,88,1996
南北,滨河西区,,7,德露苑,2,1,310.0,门头沟,简装,93,1999
南北,大峪,,6,新桥路小区,2,1,239.0,门头沟,简装,63,1992
南北,大峪,,9,西山环路6号院,3,1,730.0,门头沟,精装,140,2015
南北,门头沟其它,,6,中门花园良实家园,2,1,320.0,门头沟,其他,89,2003
西南,冯村,,20,润景公馆,2,1,505.0,门头沟,简装,103,2011
南北,冯村,,23,丽景长安,2,1,445.0,门头沟,精装,93,2012
南北,大峪,,6,大峪南路,2,1,229.0,门头沟,简装,69,1980
南北,门头沟其它,,6,惠泽家园,1,1,215.0,门头沟,精装,65,2010
南北,大峪,,24,华远裘马四季,4,2,1090.0,门头沟,精装,165,2017
南北,城子,,6,新桥大街52号院,2,1,246.0,门头沟,其他,60,1988
东西,城子,,7,阁外山水,2,1,350.0,门头沟,精装,99,2004
南北,门头沟其它,,6,军庄杨坨小区,2,1,170.0,门头沟,简装,55,1986
南北,冯村,,26,丽景长安,2,1,420.0,门头沟,精装,91,2012
东,城子,,6,城子西七棵树90号院,2,1,317.0,门头沟,精装,90,2007
西北,滨河西区,,14,皓月园,1,1,240.0,门头沟,其他,58,2006
南北,大峪,,21,金泰丽湾悦栖山,3,1,565.0,门头沟,精装,121,2016
西南,冯村,,20,润景公馆,2,1,478.0,门头沟,其他,99,2011
南,冯村,,6,冯村信园小区,2,1,300.0,门头沟,精装,72,1997
南北,滨河西区,,6,含晖苑,2,1,375.0,门头沟,其他,90,2005
南,门头沟其它,,24,梧桐苑栖凤园,2,1,386.0,门头沟,简装,83,2013
南北,大峪,,8,西山环路3号院,3,2,837.0,门头沟,精装,139,2015
