,Region,District,Garden,Room,Hall,Floor,Year,Size,Direction,Renovation,Price,RegionNum,DistrictNum,GardenNum,RoomNum,HallNum,DirectionNum,RenovationNum,PriceNum,YearNum,SizeNum,FloorNum
0,东城,灯市口,锡拉胡同21号院,3,1,6,1988,75,东西,精装,780.0,0,146,2807,2,1,13,3,780.0,1988,75,6
1,东城,崇文门,兴隆都市馨园,1,1,7,2004,39,南,精装,420.0,0,102,509,0,1,20,3,420.0,2004,39,7
2,西城,马甸,双旗杆东里,2,1,18,1986,58,西北,简装,610.0,12,217,765,1,1,32,2,610.0,1986,58,18
3,西城,牛街,白广路6号院,3,0,6,1955,84,南,简装,635.0,12,148,2087,2,0,20,2,635.0,1955,84,6
4,朝阳,高碑店,兴隆家园,3,1,6,2000,116,南北,精装,696.0,9,221,507,2,1,22,3,696.0,2000,116,6
5,朝阳,北苑,北苑家园望春园,2,1,14,2006,108,南北,精装,680.0,9,46,629,1,1,22,3,680.0,2006,108,14
6,朝阳,华威桥,双龙南里,3,1,18,1993,72,南北,简装,409.0,9,50,783,2,1,22,2,409.0,1993,72,18
7,朝阳,亚运村,名人公寓,4,2,17,2002,379,南,精装,2000.0,9,24,814,3,2,20,3,2000.0,2002,379,17
8,海淀,安宁庄,上林溪,1,0,11,2011,44,南,精装,380.0,10,90,111,0,0,20,3,380.0,2011,44,11
9,海淀,北太平庄,庚坊国际,1,0,16,2005,47,西,简装,360.0,10,44,1258,0,0,30,2,360.0,2005,47,16
10,海淀,军博,北蜂窝103号院,2,1,6,1986,57,东西,其他,446.0,10,34,636,1,1,13,0,446.0,1986,57,6
11,海淀,五道口,东王庄,3,1,6,1997,90,南北,精装,835.0,10,22,193,2,1,22,3,835.0,1997,90,6
12,海淀,田村,田村39号院,2,1,6,1996,72,南北,简装,490.0,10,156,2073,1,1,22,2,490.0,1996,72,6
13,丰台,青塔,春园,2,1,24,2001,98,西南,精装,500.0,1,209,1570,1,1,34,3,500.0,2001,98,24
14,丰台,青塔,青塔东里,2,1,7,2000,84,南北,简装,450.0,1,209,2894,1,1,22,2,450.0,2000,84,7
15,丰台,花乡,期颐百年,2,1,9,2011,87,南西,简装,419.0,1,174,1653,1,1,24,2,419.0,2011,87,9
16,丰台,方庄,芳古园二区,4,2,22,2000,171,东北,精装,1196.0,1,119,2389,3,2,2,3,1196.0,2000,171,22
17,丰台,菜户营,万泉寺东路9号院,3,2,14,2008,105,西北,简装,610.0,1,178,52,2,2,32,2,610.0,2008,105,14
18,丰台,右安门外,玉林东里一区,3,1,6,1995,69,南北,精装,445.0,1,61,1994,2,1,22,3,445.0,1995,69,6
19,丰台,太平桥,尚西泊图,3,1,21,2004,127,东南北,其他,750.0,1,86,1202,2,1,6,0,750.0,2004,127,21
20,丰台,新宫,天骄俊园9号院,2,1,15,2012,96,南北,精装,520.0,1,117,1055,1,1,22,3,520.0,2012,96,15
