,Region,District,Garden,Room,Hall,Floor,Year,Size,Direction,Renovation,Price,RegionNum,DistrictNum,GardenNum,RoomNum,HallNum,DirectionNum,RenovationNum,PriceNum,YearNum,SizeNum,FloorNum
0,东城,东单,东华门大街,2,1,6,1988,60,南北,精装,705.0,0,9,172,1,1,29,3,705.0,1988,60,6
1,东城,崇文门,新世界中心,3,1,16,1996,210,南西,其他,1400.0,0,100,1685,2,1,32,0,1400.0,1996,210,16
2,东城,陶然亭,中海紫御公馆,2,2,19,2010,90,南,精装,998.0,0,202,280,1,2,26,3,998.0,2010,90,19
3,东城,广渠门,幸福家园二期,2,1,18,2003,111,南北,其他,1180.0,0,105,1440,1,1,29,0,1180.0,2003,111,18
4,东城,西罗园,西革新里110号院,1,1,6,1992,42,南,其他,319.0,0,185,2971,0,1,26,0,319.0,1992,42,6
5,东城,西罗园,建予园,2,1,16,1999,105,南,其他,640.0,0,185,1493,1,1,26,0,640.0,1999,105,16
6,东城,东花市,富贵园一区,3,2,9,2003,161,南北,精装,1780.0,0,14,1368,2,2,29,3,1780.0,2003,161,9
7,东城,东直门,万国城MOMA,2,2,25,2002,127,东北,精装,1300.0,0,13,32,1,2,4,3,1300.0,2002,127,25
8,东城,工体,十字坡东里,1,1,5,1986,37,南,精装,405.0,0,101,693,0,1,26,3,405.0,1986,37,5
9,东城,地安门,帽儿胡同45号院,2,1,5,1985,50,南,其他,700.0,0,71,1429,1,1,26,0,700.0,1985,50,5
10,东城,广渠门,金桥国际,1,1,19,2004,54,西,精装,462.0,0,105,3151,0,1,38,3,462.0,2004,54,19
11,东城,崇文门,太华公寓,1,0,18,2000,64,西,精装,518.0,0,100,1203,0,0,38,3,518.0,2000,64,18
12,西城,菜户营,信德园,3,1,23,2002,146,西南,其他,960.0,9,173,464,2,1,43,0,960.0,2002,146,23
13,西城,木樨地,西便门外大街,2,0,4,1957,50,东,简装,457.0,9,125,2894,1,0,0,2,457.0,1957,50,4
14,西城,马连道,第三区,2,2,18,2011,33,北,精装,340.0,9,213,2541,1,2,24,3,340.0,2011,33,18
15,西城,六铺炕,六铺炕二区,3,1,17,1990,78,西南,其他,1120.0,9,34,512,2,1,43,0,1120.0,1990,78,17
16,西城,广安门,荣丰2008,1,0,26,2006,28,北,精装,320.0,9,104,2795,0,0,24,3,320.0,2006,28,26
17,西城,牛街,平原里小区,2,1,12,1999,59,南北,简装,596.0,9,144,1432,1,1,29,2,596.0,1999,59,12
18,西城,木樨地,真武庙六里,2,1,18,1988,78,南北,精装,888.0,9,125,2456,1,1,29,3,888.0,1988,78,18
19,西城,右安门内,右安门内大街,1,1,7,1991,45,西北,其他,405.0,9,60,883,0,1,40,0,405.0,1991,45,7
20,西城,西直门,玉桃园二区,2,1,6,1997,60,南北,简装,650.0,9,183,2310,1,1,29,2,650.0,1997,60,6
21,西城,马连道,红莲南里,2,1,7,1992,61,南北,精装,470.0,9,213,2594,1,1,29,3,470.0,1992,61,7
22,朝阳,亚运村小营,育慧里一区,1,0,7,2001,52,西,精装,343.0,6,26,2690,0,0,38,3,343.0,2001,52,7
23,朝阳,望京,大西洋新城A区,2,2,10,1999,86,南北,精装,835.0,6,118,1117,1,2,29,3,835.0,1999,86,10
24,朝阳,团结湖,团结湖路,2,1,6,1980,65,东西,精装,430.0,6,68,1007,1,1,18,3,430.0,1980,65,6
25,朝阳,三元桥,尚家楼48号院,2,1,12,1998,75,南北,精装,610.0,6,4,1392,1,1,29,3,610.0,1998,75,12
26,朝阳,望京,望京西园一区,3,2,6,1997,115,南北,精装,710.0,6,118,1901,2,2,29,3,710.0,1997,115,6
27,朝阳,亚运村,安慧里四区,2,2,20,1990,71,南西南,精装,545.0,6,25,1282,1,2,35,3,545.0,1990,71,20
28,朝阳,朝阳公园,泰华滨河苑,2,1,18,2005,105,南北,精装,670.0,6,119,2137,1,1,29,3,670.0,2005,105,18
29,朝阳,望京,北京香颂,3,2,17,2009,146,南北,简装,1200.0,6,118,620,2,2,29,2,1200.0,2009,146,17
30,朝阳,豆各庄,京城雅居,3,2,6,2004,259,南北,精装,1295.0,6,188,383,2,2,29,3,1295.0,2004,259,6
31,朝阳,亚运村小营,一瓶四和院,5,2,19,2009,151,西南西北,精装,1500.0,6,26,25,4,2,47,3,1500.0,2009,151,19
32,朝阳,四惠,东恒时代一期,3,2,32,2003,142,西南,精装,930.0,6,66,189,2,2,43,3,930.0,2003,142,32
33,朝阳,北苑,润泽悦溪,2,1,11,2010,86,东西,简装,665.0,6,47,2192,1,1,18,2,665.0,2010,86,11
34,朝阳,潘家园,潘家园小区,3,1,6,1994,83,东西,简装,490.0,6,140,2246,2,1,18,2,490.0,1994,83,6
35,朝阳,十里堡,东恒时代三期,2,2,27,2008,108,西南,精装,720.0,6,49,190,1,2,43,3,720.0,2008,108,27
36,朝阳,太阳宫,红玺台,3,2,25,2011,161,南北,精装,2400.0,6,86,2588,2,2,29,3,2400.0,2011,161,25
37,朝阳,双井,九龙花园,2,2,22,2001,109,西,其他,720.0,6,56,344,1,2,38,0,720.0,2001,109,22
38,朝阳,四惠,远洋天地三期,1,1,14,2004,73,西,精装,580.0,6,66,3069,0,1,38,3,580.0,2004,73,14
39,朝阳,甜水园,华阳家园,2,1,22,2002,115,东南,精装,865.0,6,151,751,1,1,5,3,865.0,2002,115,22
40,朝阳,亚运村,华馨公寓,3,2,13,1999,176,南北,简装,1350.0,6,25,752,2,2,29,2,1350.0,1999,176,13
41,朝阳,双井,双花园南里一区,3,1,22,2000,138,东北,精装,790.0,6,56,860,2,1,4,3,790.0,2000,138,22
42,朝阳,望京,融科橄榄城二期,2,1,28,2007,95,南,精装,1000.0,6,118,2858,1,1,26,3,1000.0,2007,95,28
43,朝阳,芍药居,芍药居2号院,3,2,7,1999,137,南北,精装,960.0,6,168,2716,2,2,29,3,960.0,1999,137,7
44,朝阳,惠新西街,罗马花园,3,1,25,1995,164,东,精装,980.0,6,109,2627,2,1,0,3,980.0,1995,164,25
45,朝阳,四惠,八里庄东里北巷,3,1,5,1981,68,南北,简装,392.0,6,66,497,2,1,29,2,392.0,1981,68,5
46,朝阳,豆各庄,扬州水乡,3,2,3,2004,164,南北,简装,820.0,6,188,1648,2,2,29,2,820.0,2004,164,3
47,朝阳,双井,双花园南里二区,3,1,22,2002,116,西南东北,精装,849.0,6,56,861,2,1,44,3,849.0,2002,116,22
48,海淀,学院路,学知轩,2,1,21,2001,89,西南,精装,600.0,7,88,1237,1,1,43,3,600.0,2001,89,21
49,海淀,万柳,万泉新新商务花园,1,1,10,2003,58,东,精装,750.0,7,3,56,0,1,0,3,750.0,2003,58,10
50,海淀,田村,碧森里,3,2,9,2004,132,南北,简装,1020.0,7,152,2495,2,2,29,2,1020.0,2004,132,9
51,海淀,世纪城,远大园四区,3,2,7,2000,153,南北,简装,1900.0,7,7,3060,2,2,29,2,1900.0,2000,153,7
52,海淀,公主坟,翠微路2号院,2,1,5,1980,47,南北,简装,476.0,7,32,2663,1,1,29,2,476.0,1980,47,5
53,海淀,紫竹桥,北洼路28号院,4,2,18,1996,177,西北,简装,1239.0,7,164,654,3,2,40,2,1239.0,1996,177,18
54,海淀,玉泉路,长安山麓,3,3,5,2012,179,南北,其他,2000.0,7,148,3263,2,3,29,0,2000.0,2012,179,5
55,海淀,定慧寺,永安东里,2,1,5,1998,79,东西,简装,550.0,7,94,2088,1,1,18,2,550.0,1998,79,5
56,海淀,清河,金隅美和园,2,1,9,2008,82,南北,精装,560.0,7,138,3201,1,1,29,3,560.0,2008,82,9
57,海淀,牡丹园,中鑫嘉园,1,1,26,2004,78,西南,精装,639.0,7,145,290,0,1,43,3,639.0,2004,78,26
58,海淀,颐和园,骚子营,3,1,6,1987,68,南北,精装,550.0,7,207,3469,2,1,29,3,550.0,1987,68,6
59,海淀,五棵松,六建,3,1,6,1992,82,南北,简装,700.0,7,22,506,2,1,29,2,700.0,1992,82,6
60,海淀,四季青,美丽西园,2,1,6,2002,93,南北,精装,740.0,7,65,2633,1,1,29,3,740.0,2002,93,6
61,海淀,万寿路,万寿路1号院,2,1,5,1978,55,南,精装,445.0,7,2,35,1,1,26,3,445.0,1978,55,5
62,海淀,上地,上地东里,3,2,5,1996,164,南北,其他,1500.0,7,6,121,2,2,29,0,1500.0,1996,164,5
63,海淀,海淀北部新区,正源尚峰尚水,3,2,9,2012,131,南北,精装,795.0,7,137,2045,2,2,29,3,795.0,2012,131,9
64,海淀,紫竹桥,北洼东里,3,2,18,1999,98,东西北,精装,839.0,7,164,652,2,2,20,3,839.0,1999,98,18
65,海淀,公主坟,翠微南里,2,1,18,1990,81,南,简装,720.0,7,32,2658,1,1,26,2,720.0,1990,81,18
66,海淀,西北旺,西山公馆,3,1,7,2010,150,南北,精装,1250.0,7,178,2916,2,1,29,3,1250.0,2010,150,7
67,海淀,西二旗,铭科苑,3,1,18,1999,114,西北,其他,560.0,7,176,3238,2,1,40,0,560.0,1999,114,18
68,海淀,双榆树,知春路82号院,3,1,20,1998,115,西南,其他,1350.0,7,58,2463,2,1,43,0,1350.0,1998,115,20
69,海淀,紫竹桥,紫竹花园,2,1,25,2001,164,东,简装,1150.0,7,164,2560,1,1,0,2,1150.0,2001,164,25
70,海淀,圆明园,北河沿,3,1,6,1988,57,南北,其他,630.0,7,70,650,2,1,29,0,630.0,1988,57,6
71,海淀,学院路,生态园,2,1,3,1994,62,南北,简装,560.0,7,88,2388,1,1,29,2,560.0,1994,62,3
72,丰台,六里桥,莲怡园北路1号院,3,1,6,1998,79,东南,简装,545.0,1,33,2803,2,1,5,2,545.0,1998,79,6
73,丰台,青塔,张仪村4号院,1,1,6,1995,42,南,其他,230.0,1,204,1538,0,1,26,0,230.0,1995,42,6
74,丰台,角门,角门东里,2,1,19,1995,73,东北,精装,380.0,1,187,2995,1,1,4,3,380.0,1995,73,19
75,丰台,马家堡,未来明珠,2,1,18,2003,110,东北,精装,625.0,1,210,1942,1,1,4,3,625.0,2003,110,18
76,丰台,北大地,西四环南路96号,2,1,6,1989,57,南,简装,310.0,1,44,2905,1,1,26,2,310.0,1989,57,6
77,丰台,五里店,程庄路3号院,2,1,6,1980,60,南北,精装,270.0,1,24,2529,1,1,29,3,270.0,1980,60,6
78,丰台,旧宫,万源北路7号院,2,2,16,2012,93,东南,精装,419.0,1,115,61,1,2,5,3,419.0,2012,93,16
79,丰台,北大地,北大地四里,2,1,6,1991,64,南北,精装,380.0,1,44,627,1,1,29,3,380.0,1991,64,6
80,丰台,菜户营,鹏润家园,3,2,30,2001,207,西南,其他,1250.0,1,173,3502,2,2,43,0,1250.0,2001,207,30
81,丰台,马家堡,角门16号院,2,1,6,1998,60,南北,其他,345.0,1,210,2994,1,1,29,0,345.0,1998,60,6
82,丰台,青塔,广安﹒康馨家园,2,1,26,2013,76,南北,简装,365.0,1,204,1461,1,1,29,2,365.0,2013,76,26
83,丰台,赵公口,康泽园,2,1,20,2001,89,东南,简装,460.0,1,189,1484,1,1,5,2,460.0,2001,89,20
84,丰台,方庄,芳城园一区,3,1,27,1994,97,东南,简装,614.0,1,114,2749,2,1,5,2,614.0,1994,97,27
85,丰台,新宫,翠海明苑,2,1,6,2005,90,南北,精装,550.0,1,112,2672,1,1,29,3,550.0,2005,90,6
86,丰台,洋桥,洋桥北里,2,1,6,1988,59,东西,简装,335.0,1,135,2147,1,1,18,2,335.0,1988,59,6
