,Region,District,Garden,Room,Hall,Floor,Year,Size,Direction,Renovation,Price,Elevator
0,东城,灯市口,锡拉胡同21号院,3,1,6,1988,75,东西,精装,780.0,0
1,东城,崇文门,兴隆都市馨园,1,1,7,2004,39,南,精装,420.0,1
2,西城,马甸,双旗杆东里,2,1,18,1986,58,西北,简装,610.0,1
3,西城,牛街,白广路6号院,3,0,6,1955,84,南,简装,635.0,0
4,朝阳,高碑店,兴隆家园,3,1,6,2000,116,南北,精装,696.0,0
5,朝阳,北苑,北苑家园望春园,2,1,14,2006,108,南北,精装,680.0,1
6,朝阳,华威桥,双龙南里,3,1,18,1993,72,南北,简装,409.0,1
7,朝阳,亚运村,名人公寓,4,2,17,2002,379,南,精装,2000.0,1
8,海淀,安宁庄,上林溪,1,0,11,2011,44,南,精装,380.0,1
9,海淀,北太平庄,庚坊国际,1,0,16,2005,47,西,简装,360.0,1
10,海淀,军博,北蜂窝103号院,2,1,6,1986,57,东西,其他,446.0,0
11,海淀,五道口,东王庄,3,1,6,1997,90,南北,精装,835.0,0
12,海淀,田村,田村39号院,2,1,6,1996,72,南北,简装,490.0,0
13,丰台,青塔,春园,2,1,24,2001,98,西南,精装,500.0,1
14,丰台,青塔,青塔东里,2,1,7,2000,84,南北,简装,450.0,0
15,丰台,花乡,期颐百年,2,1,9,2011,87,南西,简装,419.0,1
16,丰台,方庄,芳古园二区,4,2,22,2000,171,东北,精装,1196.0,1
17,丰台,菜户营,万泉寺东路9号院,3,2,14,2008,105,西北,简装,610.0,1
18,丰台,右安门外,玉林东里一区,3,1,6,1995,69,南北,精装,445.0,0
19,丰台,太平桥,尚西泊图,3,1,21,2004,127,东南北,其他,750.0,1
20,丰台,新宫,天骄俊园9号院,2,1,15,2012,96,南北,精装,520.0,1
21,丰台,青塔,广安﹒康馨家园,2,1,18,2015,69,南,简装,332.0,1
22,丰台,青塔,广安﹒康馨家园,2,1,34,2015,72,南,其他,345.0,1
23,丰台,青塔,广安﹒康馨家园,2,1,28,2014,73,南北,简装,350.0,1
24,丰台,方庄,芳星园三区,3,1,15,2000,86,南北,简装,490.0,1
25,丰台,旧宫,菊源里,4,2,6,2001,156,南北,其他,760.0,0
26,丰台,科技园区,北京方向,1,1,14,2015,61,南,精装,385.0,1
