index,Region,District,Garden,Layout,Floor,Year,Size,Direction,Renovation,Price
0,0,146,2807,14,5,30,53,13,3,780.0
1,0,102,509,2,6,46,17,20,3,420.0
2,12,217,765,7,17,28,36,32,2,610.0
3,12,148,2087,13,5,1,62,20,2,635.0
4,9,221,507,14,5,42,94,22,3,696.0
5,9,46,629,7,13,48,86,22,3,680.0
6,9,50,783,14,17,35,50,22,2,409.0
7,9,24,814,22,16,44,315,20,3,2000.0
8,10,90,111,1,10,53,22,20,3,380.0
9,10,44,1258,1,15,47,25,30,2,360.0
10,10,34,636,7,5,28,35,13,0,446.0
11,10,22,193,14,5,39,68,22,3,835.0
12,10,156,2073,7,5,38,50,22,2,490.0
13,1,209,1570,7,23,43,76,34,3,500.0
14,1,209,2894,7,6,42,62,22,2,450.0
15,1,174,1653,7,8,53,65,24,2,419.0
16,1,119,2389,22,21,42,149,2,3,1196.0
17,1,178,52,15,13,50,83,32,2,610.0
18,1,61,1994,14,5,37,47,22,3,445.0
19,1,86,1202,14,20,46,105,6,0,750.0
20,1,117,1055,7,14,54,74,22,3,520.0
21,1,209,1251,7,17,57,47,20,2,332.0
22,1,209,1251,7,33,57,50,20,0,345.0
23,1,209,1251,7,27,56,51,22,2,350.0
24,1,119,2395,14,14,42,64,22,2,490.0
25,1,120,2444,22,5,43,134,22,0,760.0
26,1,165,573,2,13,57,39,20,3,385.0
27,8,182,2176,15,5,42,105,22,2,335.0
28,8,40,1928,2,5,44,34,22,3,252.0
29,8,67,1861,1,10,48,25,18,0,300.0
30,8,99,2251,15,11,55,117,22,0,518.0
31,8,40,2022,15,5,43,190,22,3,750.0
32,8,40,2471,29,1,45,191,22,3,1500.0
33,8,53,3080,19,23,48,36,13,3,220.0
34,8,67,586,11,6,51,44,18,3,235.0
35,8,85,1047,14,5,43,109,22,2,445.0
36,8,40,2651,29,2,55,288,22,1,1250.0
37,3,120,137,5,16,56,12,30,3,104.0
38,3,27,2758,25,8,58,64,14,3,350.0
39,3,27,2758,25,8,58,71,22,3,330.0
40,3,75,2959,14,14,57,94,22,3,525.0
41,3,83,3090,21,25,56,147,22,2,788.0
42,3,83,2048,19,7,56,79,32,3,240.0
43,3,83,323,7,18,56,62,22,2,354.0
44,3,27,2758,25,8,58,67,13,3,300.0
45,7,203,1348,5,7,58,20,0,3,110.0
46,7,203,1348,5,7,58,24,0,0,140.0
47,7,172,2632,29,14,45,212,22,0,658.0
48,7,203,2837,15,3,57,117,22,0,695.0
49,7,203,1348,11,7,58,20,0,3,108.0
50,7,73,231,8,18,57,73,20,1,252.0
51,7,166,567,7,8,55,63,20,3,255.0
52,7,73,229,7,15,56,67,22,3,255.0
53,7,203,329,12,4,58,25,30,3,135.0
54,7,172,2975,5,17,56,28,0,3,119.0
55,5,106,2956,8,17,56,65,22,0,210.0
56,5,106,2956,2,17,56,45,2,0,199.0
57,5,106,2956,15,11,57,102,22,3,420.0
58,5,106,1437,8,16,57,80,22,3,285.0
59,5,106,243,7,11,57,54,22,3,320.0
60,5,106,2956,15,17,56,112,22,0,360.0
61,5,106,2956,8,17,56,66,22,0,230.0
62,5,106,2956,8,10,57,67,22,0,260.0
63,5,106,2956,2,17,56,52,22,0,190.0
64,5,106,2956,14,17,56,94,22,0,270.0
65,5,106,2956,8,15,56,69,22,3,260.0
66,5,106,2956,22,12,56,172,22,3,480.0
67,6,112,3079,29,1,51,339,22,3,1800.0
68,6,112,2923,7,3,52,67,22,3,430.0
69,6,112,3079,38,1,50,141,22,3,850.0
70,6,112,2480,14,0,40,65,22,2,330.0
71,6,112,3079,30,1,50,355,22,3,2100.0
72,6,112,1745,29,1,53,295,22,1,1030.0
73,6,112,469,29,1,50,274,6,0,1150.0
74,6,112,3079,22,1,50,141,22,2,800.0
75,6,112,2923,15,3,52,111,22,0,530.0
76,6,112,2922,15,3,54,66,22,0,430.0
77,6,112,2479,14,5,45,82,22,3,310.0
78,6,112,2480,14,5,39,58,22,0,235.0
79,6,112,2115,8,7,54,81,22,3,413.0
