index,Region,District,Garden,Layout,Floor,Year,Size,Direction,Renovation,Price
0,0,9,173,8,5,35,46,49,4,705.0
1,0,100,1687,15,15,43,196,52,0,1400.0
2,0,202,281,9,18,57,76,46,4,998.0
3,0,105,1442,8,17,50,97,49,0,1180.0
4,0,185,2974,1,5,39,28,46,0,319.0
5,0,185,1495,8,15,46,91,46,0,640.0
6,0,14,1370,16,8,50,147,49,4,1780.0
7,0,13,32,9,24,49,113,24,4,1300.0
8,0,101,695,1,4,33,23,46,4,405.0
9,0,71,1431,8,4,32,36,46,0,700.0
10,0,105,3154,1,18,51,40,58,4,462.0
11,0,100,1205,0,17,47,50,58,4,518.0
12,9,173,466,15,22,49,132,63,0,960.0
13,9,125,2896,7,3,6,36,20,3,457.0
14,9,213,2543,13,17,58,19,44,4,340.0
15,9,34,514,15,16,37,64,63,0,1120.0
16,9,104,2797,0,25,53,14,44,4,320.0
17,9,144,1434,8,11,46,45,49,3,596.0
18,9,125,2458,8,17,35,64,49,4,888.0
19,9,60,885,1,6,38,31,60,0,405.0
20,9,183,2312,8,5,44,46,49,3,650.0
21,9,213,2596,8,6,39,47,49,4,470.0
22,6,26,2692,0,6,48,38,58,4,343.0
23,6,118,1119,9,9,46,72,49,4,835.0
24,6,68,1009,8,5,27,51,38,4,430.0
25,6,4,1394,8,11,45,61,49,4,610.0
26,6,118,1903,16,5,44,101,49,4,710.0
27,6,25,1284,9,19,37,57,55,4,545.0
28,6,119,2139,8,17,52,91,49,4,670.0
29,6,118,622,16,16,56,132,49,3,1200.0
30,6,188,385,16,5,51,244,49,4,1295.0
31,6,26,25,31,18,56,137,67,4,1500.0
32,6,66,190,16,31,50,128,63,4,930.0
33,6,47,2194,8,10,57,72,38,3,665.0
34,6,140,2248,15,5,41,69,38,3,490.0
35,6,49,191,9,26,55,94,63,4,720.0
36,6,86,2590,16,24,58,147,49,4,2400.0
37,6,56,346,9,21,48,95,58,0,720.0
38,6,66,3072,1,13,51,59,58,4,580.0
39,6,151,753,8,21,49,101,25,4,865.0
40,6,25,754,16,12,46,162,49,3,1350.0
41,6,56,862,15,21,47,124,24,4,790.0
42,6,118,2860,8,27,54,81,46,4,1000.0
43,6,168,2718,16,6,46,123,49,4,960.0
44,6,109,2629,15,24,42,150,20,4,980.0
45,6,66,499,15,4,28,54,49,3,392.0
46,6,188,1650,16,2,51,150,49,3,820.0
47,6,56,863,15,21,49,102,64,4,849.0
48,7,88,1239,8,20,48,75,63,4,600.0
49,7,3,56,1,9,50,44,20,4,750.0
50,7,152,2497,16,8,51,118,49,3,1020.0
51,7,7,3063,16,6,47,139,49,3,1900.0
52,7,32,2665,8,4,27,33,49,3,476.0
53,7,164,656,23,17,43,163,60,3,1239.0
54,7,148,3266,17,4,59,165,49,0,2000.0
55,7,94,2090,8,4,45,65,38,3,550.0
56,7,138,3204,8,8,55,68,49,4,560.0
57,7,145,291,1,25,51,64,63,4,639.0
58,7,207,3473,15,5,34,54,49,4,550.0
59,7,22,508,15,5,39,68,49,3,700.0
