,Region,District,Garden,Layout,Floor,Year,Size,Direction,Renovation,Price,Elevator
0,0.0,146.0,2807.0,14.0,5.0,30.0,53.0,13.0,3.0,780.0,0
1,0.0,102.0,509.0,2.0,6.0,46.0,17.0,20.0,3.0,420.0,0
2,12.0,217.0,765.0,7.0,17.0,28.0,36.0,32.0,2.0,610.0,1
3,12.0,148.0,2087.0,13.0,5.0,1.0,62.0,20.0,2.0,635.0,0
4,9.0,221.0,507.0,14.0,5.0,42.0,94.0,22.0,3.0,696.0,0
5,9.0,46.0,629.0,7.0,13.0,48.0,86.0,22.0,3.0,680.0,1
6,9.0,50.0,783.0,14.0,17.0,35.0,50.0,22.0,2.0,409.0,1
7,9.0,24.0,814.0,22.0,16.0,44.0,315.0,20.0,3.0,2000.0,1
8,10.0,90.0,111.0,1.0,10.0,53.0,22.0,20.0,3.0,380.0,1
9,10.0,44.0,1258.0,1.0,15.0,47.0,25.0,30.0,2.0,360.0,1
10,10.0,34.0,636.0,7.0,5.0,28.0,35.0,13.0,0.0,446.0,0
11,10.0,22.0,193.0,14.0,5.0,39.0,68.0,22.0,3.0,835.0,0
12,10.0,156.0,2073.0,7.0,5.0,38.0,50.0,22.0,2.0,490.0,0
13,1.0,209.0,1570.0,7.0,23.0,43.0,76.0,34.0,3.0,500.0,1
14,1.0,209.0,2894.0,7.0,6.0,42.0,62.0,22.0,2.0,450.0,0
15,1.0,174.0,1653.0,7.0,8.0,53.0,65.0,24.0,2.0,419.0,1
16,1.0,119.0,2389.0,22.0,21.0,42.0,149.0,2.0,3.0,1196.0,1
17,1.0,178.0,52.0,15.0,13.0,50.0,83.0,32.0,2.0,610.0,1
18,1.0,61.0,1994.0,14.0,5.0,37.0,47.0,22.0,3.0,445.0,0
19,1.0,86.0,1202.0,14.0,20.0,46.0,105.0,6.0,0.0,750.0,1
20,1.0,117.0,1055.0,7.0,14.0,54.0,74.0,22.0,3.0,520.0,1
21,1.0,209.0,1251.0,7.0,17.0,57.0,47.0,20.0,2.0,332.0,1
22,1.0,209.0,1251.0,7.0,33.0,57.0,50.0,20.0,0.0,345.0,1
23,1.0,209.0,1251.0,7.0,27.0,56.0,51.0,22.0,2.0,350.0,1
24,1.0,119.0,2395.0,14.0,14.0,42.0,64.0,22.0,2.0,490.0,1
25,1.0,120.0,2444.0,22.0,5.0,43.0,134.0,22.0,0.0,760.0,0
26,1.0,165.0,573.0,2.0,13.0,57.0,39.0,20.0,3.0,385.0,1
27,8.0,182.0,2176.0,15.0,5.0,42.0,105.0,22.0,2.0,335.0,0
28,8.0,40.0,1928.0,2.0,5.0,44.0,34.0,22.0,3.0,252.0,0
29,8.0,67.0,1861.0,1.0,10.0,48.0,25.0,18.0,0.0,300.0,1
30,8.0,99.0,2251.0,15.0,11.0,55.0,117.0,22.0,0.0,518.0,1
31,8.0,40.0,2022.0,15.0,5.0,43.0,190.0,22.0,3.0,750.0,0
32,8.0,40.0,2471.0,29.0,1.0,45.0,191.0,22.0,3.0,1500.0,0
33,8.0,53.0,3080.0,19.0,23.0,48.0,36.0,13.0,3.0,220.0,1
34,8.0,67.0,586.0,11.0,6.0,51.0,44.0,18.0,3.0,235.0,1
35,8.0,85.0,1047.0,14.0,5.0,43.0,109.0,22.0,2.0,445.0,0
36,8.0,40.0,2651.0,29.0,2.0,55.0,288.0,22.0,1.0,1250.0,1
37,3.0,120.0,137.0,5.0,16.0,56.0,12.0,30.0,3.0,104.0,1
38,3.0,27.0,2758.0,25.0,8.0,58.0,64.0,14.0,3.0,350.0,1
39,3.0,27.0,2758.0,25.0,8.0,58.0,71.0,22.0,3.0,330.0,1
40,3.0,75.0,2959.0,14.0,14.0,57.0,94.0,22.0,3.0,525.0,1
41,3.0,83.0,3090.0,21.0,25.0,56.0,147.0,22.0,2.0,788.0,1
42,3.0,83.0,2048.0,19.0,7.0,56.0,79.0,32.0,3.0,240.0,1
43,3.0,83.0,323.0,7.0,18.0,56.0,62.0,22.0,2.0,354.0,1
44,3.0,27.0,2758.0,25.0,8.0,58.0,67.0,13.0,3.0,300.0,1
45,7.0,203.0,1348.0,5.0,7.0,58.0,20.0,0.0,3.0,110.0,1
46,7.0,203.0,1348.0,5.0,7.0,58.0,24.0,0.0,0.0,140.0,1
47,7.0,172.0,2632.0,29.0,14.0,45.0,212.0,22.0,0.0,658.0,1
48,7.0,203.0,2837.0,15.0,3.0,57.0,117.0,22.0,0.0,695.0,1
49,7.0,203.0,1348.0,11.0,7.0,58.0,20.0,0.0,3.0,108.0,1
50,7.0,73.0,231.0,8.0,18.0,57.0,73.0,20.0,1.0,252.0,1
51,7.0,166.0,567.0,7.0,8.0,55.0,63.0,20.0,3.0,255.0,1
52,7.0,73.0,229.0,7.0,15.0,56.0,67.0,22.0,3.0,255.0,1
53,7.0,203.0,329.0,12.0,4.0,58.0,25.0,30.0,3.0,135.0,1
54,7.0,172.0,2975.0,5.0,17.0,56.0,28.0,0.0,3.0,119.0,1
55,5.0,106.0,2956.0,8.0,17.0,56.0,65.0,22.0,0.0,210.0,1
56,5.0,106.0,2956.0,2.0,17.0,56.0,45.0,2.0,0.0,199.0,1
57,5.0,106.0,2956.0,15.0,11.0,57.0,102.0,22.0,3.0,420.0,1
58,5.0,106.0,1437.0,8.0,16.0,57.0,80.0,22.0,3.0,285.0,1
59,5.0,106.0,243.0,7.0,11.0,57.0,54.0,22.0,3.0,320.0,1
60,5.0,106.0,2956.0,15.0,17.0,56.0,112.0,22.0,0.0,360.0,1
61,5.0,106.0,2956.0,8.0,17.0,56.0,66.0,22.0,0.0,230.0,1
62,5.0,106.0,2956.0,8.0,10.0,57.0,67.0,22.0,0.0,260.0,1
63,5.0,106.0,2956.0,2.0,17.0,56.0,52.0,22.0,0.0,190.0,1
64,5.0,106.0,2956.0,14.0,17.0,56.0,94.0,22.0,0.0,270.0,1
65,5.0,106.0,2956.0,8.0,15.0,56.0,69.0,22.0,3.0,260.0,1
66,5.0,106.0,2956.0,22.0,12.0,56.0,172.0,22.0,3.0,480.0,1
67,6.0,112.0,3079.0,29.0,1.0,51.0,339.0,22.0,3.0,1800.0,3
68,6.0,112.0,2923.0,7.0,3.0,52.0,67.0,22.0,3.0,430.0,1
69,6.0,112.0,3079.0,38.0,1.0,50.0,141.0,22.0,3.0,850.0,0
70,6.0,112.0,2480.0,14.0,0.0,40.0,65.0,22.0,2.0,330.0,0
71,6.0,112.0,3079.0,30.0,1.0,50.0,355.0,22.0,3.0,2100.0,3
72,6.0,112.0,1745.0,29.0,1.0,53.0,295.0,22.0,1.0,1030.0,0
73,6.0,112.0,469.0,29.0,1.0,50.0,274.0,6.0,0.0,1150.0,0
74,6.0,112.0,3079.0,22.0,1.0,50.0,141.0,22.0,2.0,800.0,0
75,6.0,112.0,2923.0,15.0,3.0,52.0,111.0,22.0,0.0,530.0,1
76,6.0,112.0,2922.0,15.0,3.0,54.0,66.0,22.0,0.0,430.0,1
77,6.0,112.0,2479.0,14.0,5.0,45.0,82.0,22.0,3.0,310.0,0
78,6.0,112.0,2480.0,14.0,5.0,39.0,58.0,22.0,0.0,235.0,0
79,6.0,112.0,2115.0,8.0,7.0,54.0,81.0,22.0,3.0,413.0,1
80,6.0,112.0,1745.0,30.0,1.0,50.0,296.0,22.0,3.0,1150.0,0
81,6.0,112.0,1267.0,2.0,5.0,45.0,35.0,2.0,2.0,220.0,0
82,4.0,98.0,2953.0,21.0,15.0,58.0,101.0,22.0,2.0,250.0,1
83,4.0,98.0,832.0,15.0,1.0,53.0,321.0,22.0,1.0,1000.0,0
84,4.0,98.0,832.0,30.0,1.0,54.0,341.0,22.0,3.0,1400.0,3
85,4.0,98.0,368.0,14.0,5.0,49.0,80.0,22.0,0.0,210.0,0
86,4.0,98.0,1742.0,15.0,5.0,48.0,119.0,22.0,0.0,308.0,0
87,4.0,98.0,426.0,7.0,5.0,53.0,52.0,32.0,3.0,223.0,0
88,4.0,98.0,426.0,15.0,5.0,53.0,101.0,22.0,0.0,320.0,0
89,4.0,98.0,2953.0,15.0,15.0,56.0,101.0,22.0,0.0,265.0,1
90,4.0,98.0,2143.0,15.0,5.0,51.0,80.0,22.0,0.0,240.0,0
91,4.0,98.0,1684.0,15.0,5.0,46.0,86.0,22.0,3.0,260.0,0
92,4.0,98.0,2953.0,15.0,6.0,58.0,76.0,22.0,0.0,230.0,0
93,4.0,98.0,1741.0,36.0,5.0,51.0,176.0,22.0,3.0,398.0,0
94,5.0,106.0,1208.0,15.0,1.0,49.0,99.0,22.0,3.0,320.0,0
95,5.0,106.0,2956.0,7.0,11.0,56.0,63.0,26.0,1.0,230.0,1
96,5.0,106.0,2956.0,7.0,7.0,56.0,64.0,22.0,3.0,238.0,1
97,5.0,106.0,2956.0,7.0,17.0,56.0,65.0,20.0,3.0,253.0,1
98,5.0,106.0,2956.0,14.0,8.0,56.0,105.0,22.0,1.0,390.0,1
99,5.0,106.0,2956.0,7.0,17.0,56.0,65.0,20.0,0.0,260.0,1
100,5.0,106.0,2956.0,8.0,9.0,56.0,65.0,22.0,3.0,236.0,1
101,5.0,106.0,2956.0,8.0,9.0,56.0,65.0,22.0,0.0,238.0,1
