Direction,District,Elevator,Floor,Garden,Id,Layout,Price,Region,Renovation,Size,Year
东西,灯市口,,6,锡拉胡同21号院,101102647043,3室1厅,780.0,东城,精装,75.0,1988
南,崇文门,,7,兴隆都市馨园,101102577410,1室1厅,420.0,东城,精装,39.0,2004
西北,马甸,,18,双旗杆东里,101102570446,2室1厅,610.0,西城,简装,58.0,1986
南,牛街,,6,白广路6号院,101102562685,3室0厅,635.0,西城,简装,84.0,1955
南北,高碑店,,6,兴隆家园,101102553280,3室1厅,696.0,朝阳,精装,116.0,2000
南北,北苑,,14,北苑家园望春园,101102528200,2室1厅,680.0,朝阳,精装,108.0,2006
南北,华威桥,,18,双龙南里,101102330970,3室1厅,409.0,朝阳,简装,72.0,1993
南,亚运村,,17,名人公寓,101102598253,4室2厅,2000.0,朝阳,精装,379.0,2002
南,安宁庄,,11,上林溪,101102717489,1室0厅,380.0,海淀,精装,44.0,2011
西,北太平庄,,16,庚坊国际,101101374317,1室0厅,360.0,海淀,简装,47.0,2005
东西,军博,,6,北蜂窝103号院,101102486872,2室1厅,446.0,海淀,其他,57.0,1986
南北,五道口,,6,东王庄,101102431123,3室1厅,835.0,海淀,精装,90.0,1997
南北,田村,,6,田村39号院,101102347879,2室1厅,490.0,海淀,简装,72.0,1996
西南,青塔,,24,春园,101101974016,2室1厅,500.0,丰台,精装,98.0,2001
南北,青塔,,7,青塔东里,101102458058,2室1厅,450.0,丰台,简装,84.0,2000
南西,花乡,,9,期颐百年,101102480154,2室1厅,419.0,丰台,简装,87.0,2011
东北,方庄,,22,芳古园二区,101102599706,4室2厅,1196.0,丰台,精装,171.0,2000
西北,菜户营,,14,万泉寺东路9号院,101102621346,3室2厅,610.0,丰台,简装,105.0,2008
南北,右安门外,,6,玉林东里一区,101102212420,3室1厅,445.0,丰台,精装,69.0,1995
东南北,太平桥,,21,尚西泊图,101102624675,3室1厅,750.0,丰台,其他,127.0,2004
南北,新宫,,15,天骄俊园9号院,101102628459,2室1厅,520.0,丰台,精装,96.0,2012
南,青塔,,18,广安﹒康馨家园,101102527165,2室1厅,332.0,丰台,简装,69.0,2015
南,青塔,,34,广安﹒康馨家园,101102621795,2室1厅,345.0,丰台,其他,72.0,2015
南北,青塔,,28,广安﹒康馨家园,101102596715,2室1厅,350.0,丰台,简装,73.0,2014
南北,方庄,,15,芳星园三区,101102571461,3室1厅,490.0,丰台,简装,86.0,2000
南北,旧宫,,6,菊源里,101102564568,4室2厅,760.0,丰台,其他,156.0,2001
南,科技园区,,14,北京方向,101102443166,1室1厅,385.0,丰台,精装,61.0,2015
